lambda,f,species,speed,acuity
12.5,16.0,RaptorAgent,0.07332265356787082,0.09618879675798275
12.5,16.0,RaptorAgent,0.07116796409217174,0.09621119880767141
12.5,16.0,RaptorAgent,0.0729252949319838,0.09158452973873486
12.5,16.0,RaptorAgent,0.07319912778373872,0.08599616890901075
12.5,16.0,RaptorAgent,0.07350777503497104,0.09150055943629619
12.5,16.0,RaptorAgent,0.054899074911141654,0.07110842300968923
12.5,16.0,RaptorAgent,0.05687799549740139,0.07103287473520967
12.5,16.0,RaptorAgent,0.056974047296047874,0.07823210430938272
12.5,16.0,RaptorAgent,0.05865039477827237,0.07925672554059639
12.5,16.0,RaptorAgent,0.058884505940196355,0.07457937702015945
12.5,16.0,RaptorAgent,0.05938908276324602,0.07406299145902895
12.5,16.0,RaptorAgent,0.06072228290327667,0.0774421846830453
12.5,16.0,RaptorAgent,0.07398837618566878,0.08591664217150849
12.5,16.0,RaptorAgent,0.06774193416197741,0.08937804082498753
12.5,16.0,RaptorAgent,0.06892151782763145,0.09020333825453304
12.5,16.0,RaptorAgent,0.07158541059692604,0.08085400263369086
12.5,16.0,RaptorAgent,0.0704414816110948,0.08954507919601112
12.5,16.0,RaptorAgent,0.07574653734310867,0.08836595312599278
12.5,16.0,RaptorAgent,0.06923659820454973,0.08319019769442978
12.5,16.0,RaptorAgent,0.07195375815888015,0.09138420529222692
12.5,16.0,RaptorAgent,0.07041144537787725,0.0893180114924508
12.5,16.0,RaptorAgent,0.06912274765236881,0.08939871920290149
12.5,16.0,RaptorAgent,0.0708548458415674,0.08257184231619392
12.5,16.0,RaptorAgent,0.06994219914983635,0.08551108978548272
12.5,16.0,RaptorAgent,0.07510503334922616,0.08251967922878144
12.5,16.0,RaptorAgent,0.07844516670734361,0.07456599241301837
12.5,16.0,RaptorAgent,0.07067588468853013,0.07568148588282103
12.5,16.0,RaptorAgent,0.0754102945037942,0.07620525421567771
12.5,16.0,RaptorAgent,0.07047086068974073,0.07645695306718764
12.5,16.0,Agent,0.03644408589338893,0.051979576006033326
12.5,16.0,Agent,0.039479644844976854,0.0564745226141896
12.5,16.0,Agent,0.0346179740156014,0.0521985673206622
12.5,16.0,Agent,0.04229864783161521,0.0411770789245875
12.5,16.0,Agent,0.04148248580249355,0.04498653014785235
12.5,16.0,Agent,0.041767980576125074,0.044659172302309494
12.5,16.0,Agent,0.040865013001015284,0.04752568669392453
12.5,16.0,Agent,0.03986094168031943,0.0473678530704071
12.5,16.0,Agent,0.04349876639671349,0.04705285149960992
12.5,16.0,Agent,0.04239058534988478,0.0493427837763019
12.5,16.0,RaptorAgent,0.133099569022985,0.1021250409879035
12.5,16.0,RaptorAgent,0.13074436014932175,0.09961958376204783
12.5,16.0,RaptorAgent,0.12872433831491303,0.08768003913544667
12.5,16.0,RaptorAgent,0.12501682984207105,0.08804154265410641
12.5,16.0,RaptorAgent,0.12278472626192688,0.08853657879869914
12.5,16.0,RaptorAgent,0.12341555021083578,0.0900307182471104
12.5,16.0,RaptorAgent,0.1528669698577903,0.10187430202032008
12.5,16.0,RaptorAgent,0.1437823037618861,0.09979625524255364
12.5,16.0,RaptorAgent,0.1459776295932114,0.09809092188320191
12.5,16.0,RaptorAgent,0.14476889261588435,0.09836165297551776
12.5,16.0,RaptorAgent,0.14614484506809583,0.09772014570138551
12.5,16.0,SlothAgent,0.22933916732152035,0.112873260866902
12.5,16.0,SlothAgent,0.22852651984112202,0.11274180134221964
12.5,16.0,SlothAgent,0.2201459509707069,0.11371436071409467
12.5,16.0,SlothAgent,0.22407436513131765,0.11250854896602921
12.5,16.0,SlothAgent,0.21846202327700012,0.10269200731780806
12.5,16.0,TurtleAgent,0.0008532019440527839,0.013752314161230773
12.5,16.0,RaptorAgent,0.06983539911716789,0.08845696776199759
12.5,16.0,RaptorAgent,0.06925688352490242,0.0880127678557556
12.5,16.0,RaptorAgent,0.07393912402907607,0.08651030396321534
12.5,16.0,RaptorAgent,0.07348020200379389,0.08787315031344937
12.5,16.0,RaptorAgent,0.07157126067796536,0.08525583227884277
12.5,16.0,RaptorAgent,0.07291099801647422,0.08904643625669462
12.5,16.0,RaptorAgent,0.07136404047901566,0.08373902416294833
12.5,16.0,RaptorAgent,0.0708171542809062,0.08347534610206059
12.5,16.0,RaptorAgent,0.0687637190043024,0.08063146308649408
12.5,16.0,RaptorAgent,0.07786870532609778,0.10330461472042145
12.5,16.0,RaptorAgent,0.08198639386606095,0.0997358701198304
12.5,16.0,RaptorAgent,0.08326325993863548,0.10038814259491076
12.5,16.0,RaptorAgent,0.08173110480020054,0.09726243587731512
12.5,16.0,RaptorAgent,0.07683337281673007,0.09875495631077054
12.5,16.0,RaptorAgent,0.07641009648613552,0.09293196549915576
12.5,16.0,RaptorAgent,0.062482378513063486,0.09187742387690945
12.5,16.0,RaptorAgent,0.06396248278073728,0.0909012084101034
12.5,16.0,RaptorAgent,0.057666233489217414,0.08080773406380978
12.5,16.0,RaptorAgent,0.0565376052353286,0.08313843735965379
12.5,16.0,RaptorAgent,0.07618146665800829,0.0781433473780817
12.5,16.0,RaptorAgent,0.07267444998339162,0.0777485614618523
12.5,16.0,RaptorAgent,0.07581627091157642,0.07715823837677557
12.5,16.0,RaptorAgent,0.04675123467237673,0.07767932479125914
12.5,16.0,RaptorAgent,0.04874951209020585,0.07953556951093108
12.5,16.0,RaptorAgent,0.04718379358747227,0.0836207582438692
12.5,16.0,RaptorAgent,0.06224805095743365,0.07498688918101701
12.5,16.0,RaptorAgent,0.0643610826662382,0.07445843702141569
12.5,16.0,RaptorAgent,0.06460953575245902,0.07260737759031677
12.5,16.0,RaptorAgent,0.09170552361291229,0.09677070154142015
12.5,16.0,RaptorAgent,0.08697188769025947,0.09748517907381359
12.5,16.0,RaptorAgent,0.08509642409508238,0.10094660809863994
12.5,16.0,RaptorAgent,0.08483063429695131,0.09969395746284082
12.5,16.0,RaptorAgent,0.08676437008937157,0.09832244386643477
12.5,16.0,RaptorAgent,0.08512668608078833,0.09909530626170672
12.5,16.0,RaptorAgent,0.08664786908668985,0.09406884152174178
12.5,16.0,RaptorAgent,0.09229930217344016,0.09457851989179324
12.5,16.0,RaptorAgent,0.08105162895730093,0.09940901157587277
12.5,16.0,RaptorAgent,0.08720219342624652,0.09628427707121336
12.5,16.0,RaptorAgent,0.08430043802029434,0.09825376712895456
12.5,16.0,RaptorAgent,0.08471555218543285,0.0939618596950006
12.5,16.0,RaptorAgent,0.08657224847052335,0.09803883528010286
12.5,16.0,RaptorAgent,0.08561502786516692,0.09915801647770213
12.5,16.0,RaptorAgent,0.09309604778406007,0.08918336727865302
12.5,16.0,RaptorAgent,0.09394536325736544,0.0906686702152893
12.5,16.0,RaptorAgent,0.08196478030749038,0.09316374445569398
12.5,16.0,RaptorAgent,0.08291127884142385,0.0955795185716291
12.5,16.0,RaptorAgent,0.08115350433523759,0.09381175203292064
12.5,16.0,RaptorAgent,0.08267344369071511,0.09450913793278513
12.5,16.0,RaptorAgent,0.0771518120596043,0.1031998622595375
