energy,speed,acuity,Rate
-33.35999999999995,0.16,0.06,100.0
-38.64000000000003,0.17,0.06,100.0
-44.24000000000004,0.18,0.06,100.0
-50.159999999999954,0.19,0.06,100.0
7.199999999999979,0.0,0.07,100.0
7.039999999999971,0.01,0.07,100.0
6.560000000000024,0.02,0.07,100.0
5.759999999999981,0.03,0.07,100.0
4.6400000000000015,0.04,0.07,100.0
3.200000000000033,0.05,0.07,100.0
1.4399999999999995,0.06,0.07,100.0
-0.6400000000000039,0.07,0.07,100.0
-3.0399999999999916,0.08,0.07,100.0
-5.760000000000018,0.09,0.07,100.0
-8.800000000000002,0.1,0.07,100.0
-12.16000000000003,0.11,0.07,100.0
-15.839999999999996,0.12,0.07,100.0
-19.84000000000004,0.13,0.07,100.0
-24.15999999999998,0.14,0.07,100.0
-28.80000000000005,0.15,0.07,100.0
-33.76,0.16,0.07,100.0
-39.040000000000035,0.17,0.07,100.0
-44.63999999999993,0.18,0.07,100.0
-50.560000000000066,0.19,0.07,100.0
6.799999999999997,0.0,0.08,100.0
6.640000000000015,0.01,0.08,100.0
6.160000000000025,0.02,0.08,100.0
5.359999999999978,0.03,0.08,100.0
4.2399999999999824,0.04,0.08,100.0
2.8000000000000176,0.05,0.08,100.0
1.0399999999999903,0.06,0.08,100.0
-1.040000000000013,0.07,0.08,100.0
-3.4399999999999986,0.08,0.08,100.0
-6.1599999999999975,0.09,0.08,100.0
-9.200000000000015,0.1,0.08,100.0
-12.56,0.11,0.08,100.0
-16.239999999999966,0.12,0.08,100.0
-20.240000000000006,0.13,0.08,100.0
-24.56000000000001,0.14,0.08,100.0
-29.199999999999974,0.15,0.08,100.0
-34.16000000000003,0.16,0.08,100.0
-39.439999999999955,0.17,0.08,100.0
-45.04000000000006,0.18,0.08,100.0
-50.96000000000003,0.19,0.08,100.0
6.400000000000041,0.0,0.09,100.0
6.240000000000017,0.01,0.09,100.0
5.759999999999981,0.02,0.09,100.0
4.960000000000022,0.03,0.09,100.0
3.839999999999969,0.04,0.09,100.0
