meals,speed,acuity,Rate
190,0.11,0.16,100.0
200,0.12,0.16,100.0
210,0.13,0.16,100.0
212,0.14,0.16,100.0
246,0.15,0.16,100.0
251,0.16,0.16,100.0
266,0.17,0.16,100.0
290,0.18,0.16,100.0
304,0.19,0.16,100.0
0,0.0,0.17,100.0
13,0.01,0.17,100.0
32,0.02,0.17,100.0
50,0.03,0.17,100.0
70,0.04,0.17,100.0
78,0.05,0.17,100.0
102,0.06,0.17,100.0
115,0.07,0.17,100.0
123,0.08,0.17,100.0
157,0.09,0.17,100.0
157,0.1,0.17,100.0
175,0.11,0.17,100.0
197,0.12,0.17,100.0
214,0.13,0.17,100.0
227,0.14,0.17,100.0
244,0.15,0.17,100.0
232,0.16,0.17,100.0
272,0.17,0.17,100.0
284,0.18,0.17,100.0
294,0.19,0.17,100.0
0,0.0,0.18,100.0
17,0.01,0.18,100.0
26,0.02,0.18,100.0
52,0.03,0.18,100.0
68,0.04,0.18,100.0
80,0.05,0.18,100.0
98,0.06,0.18,100.0
115,0.07,0.18,100.0
128,0.08,0.18,100.0
144,0.09,0.18,100.0
159,0.1,0.18,100.0
182,0.11,0.18,100.0
203,0.12,0.18,100.0
205,0.13,0.18,100.0
220,0.14,0.18,100.0
236,0.15,0.18,100.0
260,0.16,0.18,100.0
279,0.17,0.18,100.0
287,0.18,0.18,100.0
285,0.19,0.18,100.0
0,0.0,0.19,100.0
13,0.01,0.19,100.0
35,0.02,0.19,100.0
47,0.03,0.19,100.0
63,0.04,0.19,100.0
79,0.05,0.19,100.0
103,0.06,0.19,100.0
123,0.07,0.19,100.0
123,0.08,0.19,100.0
150,0.09,0.19,100.0
158,0.1,0.19,100.0
176,0.11,0.19,100.0
194,0.12,0.19,100.0
219,0.13,0.19,100.0
218,0.14,0.19,100.0
240,0.15,0.19,100.0
259,0.16,0.19,100.0
278,0.17,0.19,100.0
277,0.18,0.19,100.0
303,0.19,0.19,100.0
0,0.0,0.0,200.0
0,0.01,0.0,200.0
0,0.02,0.0,200.0
0,0.03,0.0,200.0
0,0.04,0.0,200.0
0,0.05,0.0,200.0
0,0.06,0.0,200.0
0,0.07,0.0,200.0
0,0.08,0.0,200.0
0,0.09,0.0,200.0
0,0.1,0.0,200.0
0,0.11,0.0,200.0
0,0.12,0.0,200.0
0,0.13,0.0,200.0
0,0.14,0.0,200.0
0,0.15,0.0,200.0
0,0.16,0.0,200.0
0,0.17,0.0,200.0
0,0.18,0.0,200.0
0,0.19,0.0,200.0
0,0.0,0.01,200.0
4,0.01,0.01,200.0
7,0.02,0.01,200.0
9,0.03,0.01,200.0
16,0.04,0.01,200.0
13,0.05,0.01,200.0
16,0.06,0.01,200.0
29,0.07,0.01,200.0
29,0.08,0.01,200.0
31,0.09,0.01,200.0
35,0.1,0.01,200.0
34,0.11,0.01,200.0
42,0.12,0.01,200.0
47,0.13,0.01,200.0
54,0.14,0.01,200.0
42,0.15,0.01,200.0
52,0.16,0.01,200.0
60,0.17,0.01,200.0
49,0.18,0.01,200.0
61,0.19,0.01,200.0
0,0.0,0.02,200.0
5,0.01,0.02,200.0
17,0.02,0.02,200.0
25,0.03,0.02,200.0
28,0.04,0.02,200.0
50,0.05,0.02,200.0
42,0.06,0.02,200.0
58,0.07,0.02,200.0
65,0.08,0.02,200.0
67,0.09,0.02,200.0
84,0.1,0.02,200.0
71,0.11,0.02,200.0
87,0.12,0.02,200.0
118,0.13,0.02,200.0
94,0.14,0.02,200.0
122,0.15,0.02,200.0
115,0.16,0.02,200.0
130,0.17,0.02,200.0
158,0.18,0.02,200.0
144,0.19,0.02,200.0
0,0.0,0.03,200.0
10,0.01,0.03,200.0
15,0.02,0.03,200.0
33,0.03,0.03,200.0
38,0.04,0.03,200.0
45,0.05,0.03,200.0
70,0.06,0.03,200.0
82,0.07,0.03,200.0
99,0.08,0.03,200.0
90,0.09,0.03,200.0
116,0.1,0.03,200.0
142,0.11,0.03,200.0
135,0.12,0.03,200.0
153,0.13,0.03,200.0
169,0.14,0.03,200.0
174,0.15,0.03,200.0
175,0.16,0.03,200.0
192,0.17,0.03,200.0
197,0.18,0.03,200.0
203,0.19,0.03,200.0
0,0.0,0.04,200.0
13,0.01,0.04,200.0
32,0.02,0.04,200.0
37,0.03,0.04,200.0
70,0.04,0.04,200.0
83,0.05,0.04,200.0
80,0.06,0.04,200.0
90,0.07,0.04,200.0
111,0.08,0.04,200.0
124,0.09,0.04,200.0
149,0.1,0.04,200.0
143,0.11,0.04,200.0
180,0.12,0.04,200.0
177,0.13,0.04,200.0
198,0.14,0.04,200.0
210,0.15,0.04,200.0
212,0.16,0.04,200.0
249,0.17,0.04,200.0
258,0.18,0.04,200.0
263,0.19,0.04,200.0
0,0.0,0.05,200.0
17,0.01,0.05,200.0
31,0.02,0.05,200.0
48,0.03,0.05,200.0
81,0.04,0.05,200.0
80,0.05,0.05,200.0
89,0.06,0.05,200.0
109,0.07,0.05,200.0
124,0.08,0.05,200.0
153,0.09,0.05,200.0
162,0.1,0.05,200.0
185,0.11,0.05,200.0
181,0.12,0.05,200.0
219,0.13,0.05,200.0
212,0.14,0.05,200.0
251,0.15,0.05,200.0
238,0.16,0.05,200.0
285,0.17,0.05,200.0
240,0.18,0.05,200.0
314,0.19,0.05,200.0
0,0.0,0.06,200.0
21,0.01,0.06,200.0
48,0.02,0.06,200.0
57,0.03,0.06,200.0
77,0.04,0.06,200.0
85,0.05,0.06,200.0
107,0.06,0.06,200.0
123,0.07,0.06,200.0
162,0.08,0.06,200.0
172,0.09,0.06,200.0
193,0.1,0.06,200.0
204,0.11,0.06,200.0
212,0.12,0.06,200.0
244,0.13,0.06,200.0
237,0.14,0.06,200.0
246,0.15,0.06,200.0
273,0.16,0.06,200.0
289,0.17,0.06,200.0
308,0.18,0.06,200.0
341,0.19,0.06,200.0
0,0.0,0.07,200.0
21,0.01,0.07,200.0
44,0.02,0.07,200.0
55,0.03,0.07,200.0
70,0.04,0.07,200.0
83,0.05,0.07,200.0
102,0.06,0.07,200.0
138,0.07,0.07,200.0
159,0.08,0.07,200.0
207,0.09,0.07,200.0
204,0.1,0.07,200.0
199,0.11,0.07,200.0
256,0.12,0.07,200.0
247,0.13,0.07,200.0
237,0.14,0.07,200.0
282,0.15,0.07,200.0
299,0.16,0.07,200.0
318,0.17,0.07,200.0
307,0.18,0.07,200.0
345,0.19,0.07,200.0
0,0.0,0.08,200.0
22,0.01,0.08,200.0
44,0.02,0.08,200.0
60,0.03,0.08,200.0
86,0.04,0.08,200.0
88,0.05,0.08,200.0
123,0.06,0.08,200.0
147,0.07,0.08,200.0
161,0.08,0.08,200.0
176,0.09,0.08,200.0
