energy,speed,acuity,Rate
-441.39999999998986,0.18,0.03,100.0
-473.60000000000633,0.19,0.03,100.0
-16.00000000000001,0.0,0.04,100.0
-7.599999999999882,0.01,0.04,100.0
-16.399999999999668,0.02,0.04,100.0
-4.400000000000127,0.03,0.04,100.0
-16.600000000000183,0.04,0.04,100.0
-11.999999999999485,0.05,0.04,100.0
-22.599999999999756,0.06,0.04,100.0
-35.400000000000226,0.07,0.04,100.0
-52.40000000000087,0.08,0.04,100.0
-77.60000000000137,0.09,0.04,100.0
-94.0000000000012,0.1,0.04,100.0
-116.59999999999853,0.11,0.04,100.0
-137.39999999999745,0.12,0.04,100.0
-171.39999999999642,0.13,0.04,100.0
-218.59999999999928,0.14,0.04,100.0
-266.00000000000216,0.15,0.04,100.0
-301.5999999999984,0.16,0.04,100.0
-369.4000000000036,0.17,0.04,100.0
-390.4000000000041,0.18,0.04,100.0
-424.59999999999417,0.19,0.04,100.0
-19.999999999999662,0.0,0.05,100.0
-9.599999999999868,0.01,0.05,100.0
-9.400000000000082,0.02,0.05,100.0
-3.4000000000000643,0.03,0.05,100.0
-2.5999999999999925,0.04,0.05,100.0
-8.999999999999975,0.05,0.05,100.0
-14.600000000000279,0.06,0.05,100.0
-38.39999999999984,0.07,0.05,100.0
-40.39999999999956,0.08,0.05,100.0
-61.59999999999957,0.09,0.05,100.0
-82.00000000000101,0.1,0.05,100.0
-112.5999999999996,0.11,0.05,100.0
-151.40000000000117,0.12,0.05,100.0
-188.40000000000325,0.13,0.05,100.0
-220.59999999999638,0.14,0.05,100.0
-229.9999999999968,0.15,0.05,100.0
-271.59999999999525,0.16,0.05,100.0
-331.40000000000094,0.17,0.05,100.0
-384.40000000000634,0.18,0.05,100.0
-415.59999999999997,0.19,0.05,100.0
-24.00000000000002,0.0,0.06,100.0
-15.600000000000199,0.01,0.06,100.0
-11.400000000000167,0.02,0.06,100.0
-3.400000000000073,0.03,0.06,100.0
-0.599999999999985,0.04,0.06,100.0
-5.000000000000051,0.05,0.06,100.0
-2.59999999999996,0.06,0.06,100.0
-13.399999999999835,0.07,0.06,100.0
-23.400000000000265,0.08,0.06,100.0
-59.599999999999014,0.09,0.06,100.0
-56.99999999999918,0.1,0.06,100.0
-118.60000000000184,0.11,0.06,100.0
-136.40000000000154,0.12,0.06,100.0
-159.39999999999816,0.13,0.06,100.0
-170.60000000000096,0.14,0.06,100.0
-212.99999999999378,0.15,0.06,100.0
-279.6000000000059,0.16,0.06,100.0
-294.40000000000293,0.17,0.06,100.0
-327.3999999999915,0.18,0.06,100.0
-387.6000000000042,0.19,0.06,100.0
-27.999999999999517,0.0,0.07,100.0
-19.599999999999824,0.01,0.07,100.0
-10.39999999999988,0.02,0.07,100.0
-1.4000000000000374,0.03,0.07,100.0
-5.60000000000002,0.04,0.07,100.0
8.000000000000076,0.05,0.07,100.0
5.399999999999876,0.06,0.07,100.0
-24.40000000000049,0.07,0.07,100.0
-24.400000000000375,0.08,0.07,100.0
-36.5999999999998,0.09,0.07,100.0
-76.00000000000082,0.1,0.07,100.0
-66.60000000000022,0.11,0.07,100.0
-94.3999999999984,0.12,0.07,100.0
-149.39999999999944,0.13,0.07,100.0
-168.5999999999997,0.14,0.07,100.0
-225.0000000000037,0.15,0.07,100.0
-268.60000000000167,0.16,0.07,100.0
-273.3999999999981,0.17,0.07,100.0
-321.40000000000407,0.18,0.07,100.0
-421.5999999999947,0.19,0.07,100.0
-32.00000000000002,0.0,0.08,100.0
-20.59999999999987,0.01,0.08,100.0
-9.399999999999984,0.02,0.08,100.0
-3.4000000000000634,0.03,0.08,100.0
-1.5999999999999903,0.04,0.08,100.0
-7.000000000000052,0.05,0.08,100.0
-22.60000000000022,0.06,0.08,100.0
3.600000000000003,0.07,0.08,100.0
-19.399999999999665,0.08,0.08,100.0
-45.59999999999997,0.09,0.08,100.0
-62.00000000000016,0.1,0.08,100.0
-87.60000000000001,0.11,0.08,100.0
-97.39999999999955,0.12,0.08,100.0
-142.40000000000248,0.13,0.08,100.0
-156.59999999999877,0.14,0.08,100.0
-194.99999999999733,0.15,0.08,100.0
-239.59999999999584,0.16,0.08,100.0
-265.40000000000555,0.17,0.08,100.0
-289.4000000000009,0.18,0.08,100.0
-366.6000000000003,0.19,0.08,100.0
-36.000000000000625,0.0,0.09,100.0
-24.600000000000243,0.01,0.09,100.0
-5.399999999999835,0.02,0.09,100.0
-9.399999999999867,0.03,0.09,100.0
4.400000000000009,0.04,0.09,100.0
-7.999999999999957,0.05,0.09,100.0
-1.6000000000000933,0.06,0.09,100.0
-21.399999999999842,0.07,0.09,100.0
-33.400000000000404,0.08,0.09,100.0
-44.59999999999942,0.09,0.09,100.0
-27.00000000000065,0.1,0.09,100.0
-69.60000000000014,0.11,0.09,100.0
-95.40000000000103,0.12,0.09,100.0
-152.39999999999728,0.13,0.09,100.0
-136.59999999999891,0.14,0.09,100.0
-192.99999999999523,0.15,0.09,100.0
-228.6000000000043,0.16,0.09,100.0
-244.40000000000236,0.17,0.09,100.0
-317.3999999999926,0.18,0.09,100.0
-341.6000000000032,0.19,0.09,100.0
-39.999999999999325,0.0,0.1,100.0
-28.5999999999996,0.01,0.1,100.0
-15.400000000000187,0.02,0.1,100.0
-11.400000000000022,0.03,0.1,100.0
6.4,0.04,0.1,100.0
3.9999999999999343,0.05,0.1,100.0
-5.599999999999946,0.06,0.1,100.0
-16.400000000000137,0.07,0.1,100.0
-21.39999999999988,0.08,0.1,100.0
